song_id,title,artist,avg_duration_sec,play_count
song_26,Title_song_26,Artist_3,165.890756302521,119
song_31,Title_song_31,Artist_17,158.84615384615384,117
song_2,Title_song_2,Artist_12,156.56521739130434,115
song_34,Title_song_34,Artist_11,159.05405405405406,111
song_36,Title_song_36,Artist_1,161.43243243243242,111
song_5,Title_song_5,Artist_17,157.12962962962962,108
song_42,Title_song_42,Artist_15,155.75925925925927,108
song_48,Title_song_48,Artist_18,161.1851851851852,108
song_20,Title_song_20,Artist_17,171.28971962616822,107
song_16,Title_song_16,Artist_3,168.3271028037383,107
song_24,Title_song_24,Artist_19,166.0566037735849,106
song_18,Title_song_18,Artist_10,160.33018867924528,106
song_9,Title_song_9,Artist_9,169.02857142857144,105
song_10,Title_song_10,Artist_16,152.6,105
song_29,Title_song_29,Artist_9,158.8095238095238,105
song_8,Title_song_8,Artist_5,174.02884615384616,104
song_37,Title_song_37,Artist_14,166.6893203883495,103
song_32,Title_song_32,Artist_1,157.126213592233,103
song_23,Title_song_23,Artist_5,166.67961165048544,103
song_11,Title_song_11,Artist_17,175.44660194174756,103
song_12,Title_song_12,Artist_12,165.6601941747573,103
song_3,Title_song_3,Artist_13,162.49019607843138,102
song_4,Title_song_4,Artist_9,177.7058823529412,102
song_28,Title_song_28,Artist_5,163.7128712871287,101
song_17,Title_song_17,Artist_9,167.96039603960395,101
song_46,Title_song_46,Artist_20,169.3861386138614,101
song_27,Title_song_27,Artist_5,157.17,100
song_41,Title_song_41,Artist_4,173.22222222222223,99
song_39,Title_song_39,Artist_9,163.1919191919192,99
song_15,Title_song_15,Artist_16,165.24242424242425,99
song_22,Title_song_22,Artist_15,169.75510204081633,98
song_44,Title_song_44,Artist_9,160.0,98
song_38,Title_song_38,Artist_2,166.35051546391753,97
song_6,Title_song_6,Artist_5,163.55208333333334,96
song_49,Title_song_49,Artist_16,170.77894736842106,95
song_1,Title_song_1,Artist_5,168.25263157894736,95
song_25,Title_song_25,Artist_16,174.13684210526316,95
song_35,Title_song_35,Artist_5,168.7578947368421,95
song_30,Title_song_30,Artist_2,153.8421052631579,95
song_14,Title_song_14,Artist_4,151.68421052631578,95
song_19,Title_song_19,Artist_13,157.04301075268816,93
song_13,Title_song_13,Artist_12,150.7311827956989,93
song_21,Title_song_21,Artist_2,165.19354838709677,93
song_40,Title_song_40,Artist_1,168.34782608695653,92
song_43,Title_song_43,Artist_7,163.69230769230768,91
song_33,Title_song_33,Artist_16,165.44444444444446,90
song_47,Title_song_47,Artist_19,152.60227272727272,88
song_7,Title_song_7,Artist_3,170.28735632183907,87
song_50,Title_song_50,Artist_1,164.5,78
song_45,Title_song_45,Artist_1,173.68,75
