user_id,night_play_count,total_play_count,night_play_proportion
user_37,19,49,0.3877551020408163
user_70,16,48,0.3333333333333333
user_77,15,45,0.3333333333333333
user_52,14,43,0.32558139534883723
user_33,16,51,0.3137254901960784
user_64,12,39,0.3076923076923077
user_25,15,49,0.30612244897959184
user_75,14,46,0.30434782608695654
user_14,13,43,0.3023255813953488
user_96,14,48,0.2916666666666667
user_31,17,59,0.288135593220339
user_45,16,56,0.2857142857142857
user_72,12,43,0.27906976744186046
user_27,15,54,0.2777777777777778
user_51,15,55,0.2727272727272727
user_20,12,44,0.2727272727272727
user_84,12,44,0.2727272727272727
user_42,13,48,0.2708333333333333
user_17,14,52,0.2692307692307692
user_15,15,56,0.26785714285714285
user_23,15,56,0.26785714285714285
user_12,13,49,0.2653061224489796
user_94,15,57,0.2631578947368421
user_58,12,46,0.2608695652173913
user_90,12,46,0.2608695652173913
user_55,12,46,0.2608695652173913
user_47,13,50,0.26
user_18,12,47,0.2553191489361702
user_86,14,55,0.2545454545454545
user_29,14,55,0.2545454545454545
user_53,12,49,0.24489795918367346
user_93,10,41,0.24390243902439024
user_92,10,42,0.23809523809523808
user_19,14,59,0.23728813559322035
user_95,14,59,0.23728813559322035
user_3,14,59,0.23728813559322035
user_74,14,60,0.23333333333333334
user_82,10,43,0.23255813953488372
user_8,9,39,0.23076923076923078
user_30,12,52,0.23076923076923078
user_83,11,48,0.22916666666666666
user_80,13,57,0.22807017543859648
user_57,12,54,0.2222222222222222
user_89,14,63,0.2222222222222222
user_40,13,59,0.22033898305084745
user_1,12,55,0.21818181818181817
user_65,10,46,0.21739130434782608
user_5,10,46,0.21739130434782608
user_4,10,46,0.21739130434782608
user_7,11,51,0.21568627450980393
user_50,9,42,0.21428571428571427
user_60,12,56,0.21428571428571427
user_59,14,66,0.21212121212121213
user_32,11,52,0.21153846153846154
user_34,7,34,0.20588235294117646
user_61,7,34,0.20588235294117646
user_98,11,54,0.2037037037037037
user_56,12,59,0.2033898305084746
user_68,8,40,0.2
user_22,8,40,0.2
user_81,11,55,0.2
user_49,9,45,0.2
user_6,10,50,0.2
user_87,10,50,0.2
