user_id,night_play_count
user_24,18
user_62,17
user_92,16
user_54,16
user_36,16
user_14,15
user_31,15
user_52,15
user_20,15
user_3,15
user_46,14
user_59,14
user_44,14
user_26,14
user_70,14
user_77,14
user_86,13
user_19,13
user_18,13
user_95,13
user_12,13
user_82,13
user_27,13
user_91,13
user_8,13
user_23,13
user_30,13
user_73,12
user_5,12
user_64,12
user_4,12
user_50,12
user_98,12
user_88,12
user_22,11
user_47,11
user_49,11
user_11,11
user_35,11
user_33,11
user_6,11
user_76,11
user_2,11
user_68,10
user_13,10
user_9,10
user_1,10
user_32,10
user_41,10
user_17,10
user_100,10
user_42,10
user_69,10
user_61,10
user_29,10
user_97,9
user_66,9
user_51,9
user_7,9
user_72,9
user_48,9
user_28,9
user_57,9
user_34,9
user_60,9
user_87,9
user_55,9
user_37,9
user_84,9
user_74,9
user_94,8
user_56,8
user_93,8
user_25,8
user_80,8
user_85,7
user_83,7
user_45,7
user_40,7
user_43,7
user_90,7
user_38,7
user_15,7
user_78,7
user_65,6
user_21,6
user_71,6
user_10,6
user_79,6
user_53,6
user_67,6
user_96,6
user_58,5
user_75,5
user_39,5
user_63,5
user_81,4
user_99,4
user_89,4
user_16,3
